"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2018","75.88","74.78","76.78","74.78","3.11M","1.59%"
"07/12/2018","74.69","74.65","75.08","74.21","1.26M","0.55%"
"07/11/2018","74.28","74.54","74.75","73.03","3.23M","-1.89%"
"07/10/2018","75.71","75.69","75.76","74.90","2.09M","0.66%"
"07/09/2018","75.21","74.57","75.42","74.40","2.40M","1.25%"
"07/06/2018","74.28","73.83","74.39","73.20","1.45M","0.73%"
"07/05/2018","73.74","73.98","74.31","73.26","2.14M","0.15%"
"07/03/2018","73.63","74.33","74.90","73.55","1.19M","-0.97%"
"07/02/2018","74.35","74.33","74.45","72.84","2.75M","-0.31%"
"06/29/2018","74.58","75.39","76.12","74.58","3.00M","-0.55%"
"06/28/2018","74.99","73.93","75.28","73.16","3.24M","1.23%"
"06/27/2018","74.08","76.54","76.93","74.05","3.00M","-3.19%"
"06/26/2018","76.52","75.47","77.23","75.23","2.85M","1.88%"
"06/25/2018","75.11","75.92","76.71","74.58","3.35M","-1.51%"
"06/22/2018","76.26","77.69","77.97","76.05","4.13M","-1.26%"
"06/21/2018","77.23","75.85","77.74","75.76","2.93M","1.81%"
"06/20/2018","75.86","76.38","76.63","75.18","3.31M","-0.72%"
"06/19/2018","76.41","76.00","76.80","75.12","4.19M","-0.84%"
"06/18/2018","77.06","74.10","77.12","73.97","4.10M","3.01%"
"06/15/2018","74.81","72.88","74.98","71.93","6.39M","2.03%"
"06/14/2018","73.32","73.21","74.03","73.04","3.30M","0.08%"
"06/13/2018","73.26","73.70","73.74","72.80","3.64M","-1.07%"
"06/12/2018","74.05","74.05","74.25","72.92","3.24M","0.56%"
"06/11/2018","73.64","72.45","74.23","72.34","4.00M","1.84%"
"06/08/2018","72.31","71.26","72.54","70.91","2.82M","0.91%"
"06/07/2018","71.66","71.87","72.67","71.35","3.43M","0.14%"
"06/06/2018","71.56","71.75","72.08","70.75","3.07M","-0.28%"
"06/05/2018","71.76","69.47","71.86","69.32","4.83M","2.72%"
"06/04/2018","69.86","68.94","70.06","68.64","3.26M","1.47%"
"06/01/2018","68.85","68.50","69.43","67.91","3.60M","0.88%"
"05/31/2018","68.25","69.45","69.53","68.20","5.61M","-1.94%"
"05/30/2018","69.60","68.47","69.89","67.55","4.78M","2.08%"
"05/29/2018","68.18","68.11","69.28","67.77","4.73M","-0.39%"
"05/25/2018","68.45","71.00","71.04","68.32","8.75M","-3.46%"
"05/24/2018","70.90","70.89","72.86","69.71","16.43M","-6.65%"
"05/23/2018","75.95","75.08","76.56","74.65","4.74M","0.64%"
"05/22/2018","75.47","78.93","78.98","75.15","4.84M","-3.61%"
"05/21/2018","78.30","78.89","79.39","78.14","3.57M","0.06%"
"05/18/2018","78.25","78.55","79.31","77.87","2.76M","-0.67%"
"05/17/2018","78.78","78.88","79.59","78.63","2.51M","0.34%"
"05/16/2018","78.51","78.95","79.90","78.34","2.98M","-0.11%"
"05/15/2018","78.60","77.90","79.08","77.42","2.21M","0.45%"
"05/14/2018","78.25","77.90","78.76","77.78","2.36M","0.60%"
"05/11/2018","77.78","76.52","78.29","76.21","2.09M","1.24%"
"05/10/2018","76.83","76.67","76.97","75.93","2.56M","0.80%"
"05/09/2018","76.22","75.72","76.52","75.07","2.07M","0.78%"
"05/08/2018","75.63","75.37","75.88","75.00","2.09M","0.17%"
"05/07/2018","75.50","76.38","76.69","74.88","1.85M","-0.94%"
"05/04/2018","76.22","74.85","76.68","74.68","2.18M","1.61%"
"05/03/2018","75.01","75.56","75.56","73.94","2.75M","-1.13%"
"05/02/2018","75.87","75.53","76.32","74.91","2.25M","0.65%"
"05/01/2018","75.38","76.21","76.41","74.20","3.65M","-1.50%"
"04/30/2018","76.53","77.50","78.22","76.36","3.08M","-0.66%"
"04/27/2018","77.04","75.92","77.25","75.74","2.45M","1.88%"
"04/26/2018","75.62","74.71","76.02","74.35","2.62M","1.67%"
"04/25/2018","74.38","72.89","74.62","72.84","2.65M","1.65%"
"04/24/2018","73.17","73.63","74.25","72.47","2.90M","-0.45%"
"04/23/2018","73.50","72.49","73.72","72.48","1.95M","1.66%"
"04/20/2018","72.30","73.90","74.20","71.95","3.41M","-1.42%"
"04/19/2018","73.34","74.84","75.33","72.92","3.35M","-2.73%"
"04/18/2018","75.40","74.50","75.80","74.37","4.50M","3.64%"
"04/17/2018","72.75","72.85","73.34","72.03","2.10M","1.17%"
"04/16/2018","71.91","71.94","72.61","71.33","2.51M","1.10%"
"04/13/2018","71.13","71.99","73.30","70.83","2.78M","-0.24%"
"04/12/2018","71.30","71.33","71.92","71.15","2.54M","0.55%"
"04/11/2018","70.91","71.17","72.10","70.76","1.59M","-1.13%"
"04/10/2018","71.72","70.78","72.16","70.42","2.18M","2.72%"
"04/09/2018","69.82","70.94","71.50","69.81","3.00M","-0.95%"
"04/06/2018","70.49","71.70","72.61","70.10","3.20M","-2.26%"
"04/05/2018","72.12","73.06","73.15","71.93","2.93M","-1.02%"
"04/04/2018","72.86","69.34","73.17","69.14","3.83M","3.58%"
"04/03/2018","70.34","69.25","70.68","69.23","2.61M","2.06%"
